id,account_id,period,amount,status,issued_date,created_at
b2875b90-eefb-49df-a376-faf7d85d0169,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,2026-06,59,Pending,2026-06-21,2026-06-21 18:04:50.680356
46f13ef1-ecab-41b7-97ab-7b0406ee16f4,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,2026-05,104,Overdue,2026-05-22,2026-06-21 18:04:50.680426
eb922465-5e89-485f-9406-13f32f379b93,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,2026-04,116,Pending,2026-04-22,2026-06-21 18:04:50.680495
ed6c8399-c67e-4778-acd1-c4ad9860bddd,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,2026-03,149,Paid,2026-03-23,2026-06-21 18:04:50.680558
09595bbd-6de9-4445-a38d-f0cb16bcb534,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,2026-02,91,Paid,2026-02-21,2026-06-21 18:04:50.680609
fc2178b4-ac47-475b-9456-4b9b7a9859d9,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,2026-01,89,Pending,2026-01-22,2026-06-21 18:04:50.680651
f6ad31d6-a348-4077-abd3-158aa56862b1,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,2025-12,99,Overdue,2025-12-23,2026-06-21 18:04:50.680709
aae0ab81-d69b-43ca-a48a-51b475d93f46,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,2025-11,65,Pending,2025-11-23,2026-06-21 18:04:50.680757
174d6ce7-e73e-48f2-aad5-11cbd8f1e8ae,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,2025-10,72,Pending,2025-10-24,2026-06-21 18:04:50.680798
437bc7c7-4378-4b9a-ac53-15a7b27c5ac1,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,2025-09,68,Pending,2025-09-24,2026-06-21 18:04:50.680856
12df10fd-feff-4118-861d-bd90f72d2f6e,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,2025-08,128,Overdue,2025-08-25,2026-06-21 18:04:50.680949
b1404799-52f2-4b99-9984-886213152e75,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,2025-07,35,Pending,2025-07-26,2026-06-21 18:04:50.681002
98a6cb31-dca4-4a66-acaf-e4fb6e5f2cad,46bee804-34a6-40f3-93a7-61df3c67db3f,2026-06,108,Overdue,2026-06-21,2026-06-21 18:04:50.687141
b73cb1b3-ceb5-4235-93b4-edcb26923f7c,46bee804-34a6-40f3-93a7-61df3c67db3f,2026-05,225,Paid,2026-05-22,2026-06-21 18:04:50.687207
43f91c25-92e7-43b4-a646-88a052cd347b,46bee804-34a6-40f3-93a7-61df3c67db3f,2026-04,132,Pending,2026-04-22,2026-06-21 18:04:50.687274
b8914eda-b5d4-45bc-8bfd-802c52d6bb0e,46bee804-34a6-40f3-93a7-61df3c67db3f,2026-03,216,Paid,2026-03-23,2026-06-21 18:04:50.687324
146fe29c-c806-4d98-a86f-130af12dc7f2,46bee804-34a6-40f3-93a7-61df3c67db3f,2026-02,184,Pending,2026-02-21,2026-06-21 18:04:50.687366
c7fd2f8d-df8e-4144-b82e-8be4dfab5a82,46bee804-34a6-40f3-93a7-61df3c67db3f,2026-01,147,Pending,2026-01-22,2026-06-21 18:04:50.687417
cab52092-9a76-4819-ad6d-6778c75202f0,46bee804-34a6-40f3-93a7-61df3c67db3f,2025-12,134,Pending,2025-12-23,2026-06-21 18:04:50.687457
e41b05e0-deb8-4b3c-90bf-37c22028f7c8,46bee804-34a6-40f3-93a7-61df3c67db3f,2025-11,170,Overdue,2025-11-23,2026-06-21 18:04:50.687498
cf04f625-470c-481b-91b2-fbb72cc180a6,46bee804-34a6-40f3-93a7-61df3c67db3f,2025-10,153,Overdue,2025-10-24,2026-06-21 18:04:50.687541
4483b11a-5ed5-4327-a2d7-684f031e6256,46bee804-34a6-40f3-93a7-61df3c67db3f,2025-09,205,Overdue,2025-09-24,2026-06-21 18:04:50.687593
d58b047b-d218-4949-aa49-747b25a8dfbe,46bee804-34a6-40f3-93a7-61df3c67db3f,2025-08,152,Overdue,2025-08-25,2026-06-21 18:04:50.687647
0c9dd20c-4b7b-489a-9e09-5998b405f27b,46bee804-34a6-40f3-93a7-61df3c67db3f,2025-07,204,Overdue,2025-07-26,2026-06-21 18:04:50.687687
0af1dfc8-ea04-41f0-97dd-b5254ef40f21,51fc306a-24e1-415b-aad7-508f97d414cb,2026-06,175,Pending,2026-06-21,2026-06-21 18:04:50.696670
f4a0913c-cdf6-4670-93f4-454ab86232c1,51fc306a-24e1-415b-aad7-508f97d414cb,2026-05,67,Pending,2026-05-22,2026-06-21 18:04:50.696726
8e977f7d-d488-4f56-8602-a20f6d53e5d2,51fc306a-24e1-415b-aad7-508f97d414cb,2026-04,146,Paid,2026-04-22,2026-06-21 18:04:50.696787
d1164f77-cc45-4bba-948f-21e96c7032af,51fc306a-24e1-415b-aad7-508f97d414cb,2026-03,169,Overdue,2026-03-23,2026-06-21 18:04:50.696835
81e4aa01-f492-47c5-b95e-4a01b1cca4ce,51fc306a-24e1-415b-aad7-508f97d414cb,2026-02,132,Overdue,2026-02-21,2026-06-21 18:04:50.696876
a9b3ed0f-4780-4754-8334-2e37387072f0,51fc306a-24e1-415b-aad7-508f97d414cb,2026-01,162,Paid,2026-01-22,2026-06-21 18:04:50.696975
9ea83645-996b-4388-b245-1c3ba7e93e62,51fc306a-24e1-415b-aad7-508f97d414cb,2025-12,32,Paid,2025-12-23,2026-06-21 18:04:50.697033
003e6046-b25f-4622-8e53-da9b2fbda06b,51fc306a-24e1-415b-aad7-508f97d414cb,2025-11,108,Pending,2025-11-23,2026-06-21 18:04:50.697095
e9171bc7-c12c-4fc6-a549-4eeeab5a26dd,51fc306a-24e1-415b-aad7-508f97d414cb,2025-10,52,Paid,2025-10-24,2026-06-21 18:04:50.697151
edce6cd3-fe79-4d01-8946-d44d8e662846,51fc306a-24e1-415b-aad7-508f97d414cb,2025-09,63,Pending,2025-09-24,2026-06-21 18:04:50.697200
ef9137ce-be48-4ff0-ab3e-dc420aa6e110,51fc306a-24e1-415b-aad7-508f97d414cb,2025-08,38,Overdue,2025-08-25,2026-06-21 18:04:50.697250
7f6dae63-e57b-4725-aab9-b59952af00b3,51fc306a-24e1-415b-aad7-508f97d414cb,2025-07,29,Paid,2025-07-26,2026-06-21 18:04:50.697291
0213c398-6a4f-4ff9-a518-aa4e53a79785,e732ab2c-0ce1-4418-8a04-185d7c6763c0,2026-06,79,Pending,2026-06-21,2026-06-21 18:04:50.702702
216371be-0af7-421f-8a78-bb2439585b63,e732ab2c-0ce1-4418-8a04-185d7c6763c0,2026-05,71,Pending,2026-05-22,2026-06-21 18:04:50.702766
60014607-aa04-445f-90f3-afa0a11ce299,e732ab2c-0ce1-4418-8a04-185d7c6763c0,2026-04,151,Overdue,2026-04-22,2026-06-21 18:04:50.702809
83dbc406-40e1-4fb3-9b4d-807ac26263c2,e732ab2c-0ce1-4418-8a04-185d7c6763c0,2026-03,31,Paid,2026-03-23,2026-06-21 18:04:50.702880
08087e6a-b1d3-4352-8909-f34cceeab25b,e732ab2c-0ce1-4418-8a04-185d7c6763c0,2026-02,77,Paid,2026-02-21,2026-06-21 18:04:50.702973
9a8737d3-72cc-4597-ba90-3d622fb7d754,e732ab2c-0ce1-4418-8a04-185d7c6763c0,2026-01,53,Paid,2026-01-22,2026-06-21 18:04:50.703016
ca13e8f4-30d6-455f-9baf-1fa7f184ef90,e732ab2c-0ce1-4418-8a04-185d7c6763c0,2025-12,54,Overdue,2025-12-23,2026-06-21 18:04:50.703078
ab112a3a-901c-4caa-bd06-2b71fd05b8e3,e732ab2c-0ce1-4418-8a04-185d7c6763c0,2025-11,164,Overdue,2025-11-23,2026-06-21 18:04:50.703130
ceca157d-f879-4764-af17-bb0e51419ccc,e732ab2c-0ce1-4418-8a04-185d7c6763c0,2025-10,67,Overdue,2025-10-24,2026-06-21 18:04:50.703171
67af1dd7-3253-491d-8ff2-6fc7797a6345,e732ab2c-0ce1-4418-8a04-185d7c6763c0,2025-09,141,Overdue,2025-09-24,2026-06-21 18:04:50.703228
0a263b6a-4871-4a4a-b77c-c247f39b8786,e732ab2c-0ce1-4418-8a04-185d7c6763c0,2025-08,34,Paid,2025-08-25,2026-06-21 18:04:50.703274
5a20eb4f-afbc-4ede-9bb2-c5d454770780,e732ab2c-0ce1-4418-8a04-185d7c6763c0,2025-07,48,Overdue,2025-07-26,2026-06-21 18:04:50.703315
eac05d1a-9f19-411e-9167-4621fbf3f7c6,e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4,2026-06,150,Pending,2026-06-21,2026-06-21 18:04:50.713096
77911283-9d4a-4fdd-99e0-372ef31204dc,e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4,2026-05,128,Overdue,2026-05-22,2026-06-21 18:04:50.713163
5a1aa43b-db4d-4928-a98f-b1ccdc000e4b,e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4,2026-04,158,Overdue,2026-04-22,2026-06-21 18:04:50.713206
1c5e4d41-4501-4585-a99d-2370200a093a,e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4,2026-03,170,Paid,2026-03-23,2026-06-21 18:04:50.713264
db44865d-ddea-4a9c-b118-b2caa60e8465,e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4,2026-02,172,Pending,2026-02-21,2026-06-21 18:04:50.713311
a41fbdd6-26c5-4064-b698-bfb2511e3ca7,e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4,2026-01,94,Pending,2026-01-22,2026-06-21 18:04:50.713369
74c3d3ec-98f6-4408-8b7f-de5282d1dd9c,e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4,2025-12,144,Overdue,2025-12-23,2026-06-21 18:04:50.713411
0d2831f1-6636-42a3-b9b1-0ac1f9a8f7e0,e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4,2025-11,60,Overdue,2025-11-23,2026-06-21 18:04:50.713452
8fe4702a-5278-40a7-9184-fef878340911,e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4,2025-10,67,Pending,2025-10-24,2026-06-21 18:04:50.713494
4652f2b7-214e-4712-b2ed-1f937ff19d5f,e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4,2025-09,99,Paid,2025-09-24,2026-06-21 18:04:50.713537
2bbbad9d-05cb-4e0b-841e-ad7bf5c9201c,e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4,2025-08,165,Paid,2025-08-25,2026-06-21 18:04:50.713594
b1268b94-f047-4def-8aa1-7846d076ecaf,e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4,2025-07,51,Pending,2025-07-26,2026-06-21 18:04:50.713636
381e8089-504d-4afb-bddb-f8be6251bd9e,4a319096-c350-4642-8635-bb8a194ea3aa,2026-06,347,Overdue,2026-06-21,2026-06-21 18:04:50.721258
